Titulo,Localidade,Empresa,Salario,Tipo_Pesquisa,Desc,Sumario
Applied Data Scientist,"São Paulo, SP",dunnhumby,None,Organic,"dunnhumby is the world’s leading customer science company. We analyse data and apply insights from nearly one billion shoppers across the globe to create personalised customer experiences in digital, mobile, and retail environments. Our strategic process, proprietary insights, and multichannel media capabilities build loyalty with customers to drive competitive advantage and sustained growth for clients. dunnhumby employs over 2,000 experts in offices throughout Europe, Asia, Africa, and the Americas and works with a prestigious group of companies including Tesco, Monoprix, Raley’s, Macy’s, Coca-Cola, Procter & Gamble, and PepsiCo. For more information, please visit us at www.dunnhumby.com.

dunnhumby is looking for a talented Applied Data Scientist!

You will execute projects to distil complex problems into compelling insights that resonate with clients, using the best of dunnhumby science.

What you'll be doing:

Build strong relationships with immediate internal contacts and direct external client to ensure full understanding of client requirements, ensuring clear and effective communication.
Investigate and implement the most appropriate analytical technique for each project, re-using and further developing global solutions or code written by others.
Deploy data science algorithms and market products on chosen tech stack for efficient and cost-effective delivery.
Execute projects that distil complex problems into compelling insights that resonate with clients.
Participate, as required, in client meetings to help explain the proposed methodology and solutions.
Document learnings after deploying solutions for a client to increase the existing knowledge repository.
Ensure smooth running of your projects, working with senior team members for direction.
Follow dunnhumby Quality Assurance processes, ways of working and meet coding standards.
Implement advice from colleagues to resolve challenges.
Qualifications

What you'll need:
Bachelor’s degree or equivalent in Computer Science, Artificial Intelligence, Machine Learning, Applied Statistics, Physics, Engineering or related field.
Experience with and passion for connecting your work directly to the customer experience, making a real and tangible impact.
Some experience with programming, and the ability to quickly pick up handling large data volumes with modern data processing tools, e.g. by using Hadoop / Spark / SQL / Python.
Desk Research
Prototyping
Quality Assurance and Testing
Statistical Modelling
Programming (Python, SQL, R, …)
Data Interpretation/ Insight Analysis
Data Visualisation
Insight Storytelling
Client relationship building and management
Presentation skills
Life at dunnhumby

dunnhumbians are passionate people who always start with the customer, we are ambitious and decisive, we listen and understand, innovate and explore, and work together to grow one dunnhumby.
Here you'll be part of a culture that welcomes participation and discussion at all levels.
You’ll get to work in an internationally collaborative environment alongside teams of ambitious, inquisitive and forward-thinking individuals.
We believe that learning and development never stops and provide opportunities to feed your curiosity to understand, improve, and learn; encouraging everyone to build on the best of what we do.
You'll have the opportunity to work with ground-breaking technology delivering extraordinary impact for our customers.
We’re a great believer in work-life balance offering flexible working hours plus an extra day off on your birthday.
dunnhumby's spirit of community and the diversity of our people's skills, backgrounds and experiences makes us stronger. We continuously seek to build an environment of inclusion, equality and respect because we know that will make us the best business we can be.
Our approach to Flexible Working
At dunnhumby, we value and respect difference and are committed to building an inclusive culture by creating an environment where you can balance a successful career with your commitments and interests outside of work. We believe that you will do your best at work if you have a work / life balance. Some roles lend themselves to flexible options more than others, so if this is important to you please raise this with your recruiter, as we are open to discussing agile working opportunities during the hiring process.
Discover where a career with us can take you. Meet our people on YouTube to learn about the diversity in career paths across dunnhumby. For more about our culture and to explore the benefits we offer visit our Careers site.

Primary Location: Brazil-Sao Paulo
Job: Data and Analysis-Applied Data Science
Job Type: Regular
Job Posting: Jul 3, 2020, 5:20:20 PM",Deploy data science algorithms and market products on chosen tech stack for efficient and cost-effective delivery.
Desenvolvedor(a) Data Science Python pleno (remoto),Brasil,GeekHunter,None,Organic,"Esta é uma vaga de um cliente da GeekHunter, candidate-se para ter acesso as informações completas sobre a empresa.
Contruir e manter o datalake da empresa
Planejar e implementar ETLs para ferramentas de BI
Participar, junto ao time de pesquisa, de projetos de Data Science e Machine Learning

Goste de dados, banco de dados, análise de dados, enfim... se tiver uma fronha com o desenho de um DB é um bônus!
Saber que OLAP não é um personagem de Frozen é fundamental!
Entender que o Agro é fundamental para o Brasil e que o Agricultor é amigo! Saber a diferença entre terra e solo e não falar agrotóxico (e sim defensivos agrícolas) é um BÔNUS!

Habilidades Obrigatórias
Data Mining
Python
Habilidades Desejáveis
BigData
Machine learning
Hadoop
Power BI
Elasticsearch
A vaga aceita trabalho remoto?
Sim","Esta é uma vaga de um cliente da GeekHunter, candidate-se para ter acesso as informações completas sobre a empresa."
Data Expert,"São Paulo, SP",Unilever,None,Organic,"Background

For Unilever to remain competitive in the future, the business needs to continue its path to become data intelligent. The Information and Analytics team is responsible for building data, data science and analytics as a core capability to help the business become data intelligent and drive business and organization performance. The team will deliver advanced products at scale and work closely with the market teams to ensure that decisions in Unilever are augmented with insight & recommendations wherever possible.
There are five major themes to the Information and Analytics strategy:
Deliver Intelligent systems at scale . Powering Business (cross functional) and Customer Development area through data and analytics. Building out the right applications to enable business teams to move faster, with more accurate and future looking decisions leveraging Big Data & Data Science
Winning disproportionately in Markets . We believe that the best way to move the needle for Unilever in Analytics is to work with leading geographies to create analytics products that make a significant impact on our business
Drive Unilever to assisted and predictive decision-making . The future is about assisted decision-making with machines (AI/Cognitive Computing/Machine Learning) unlocking the insights from vast deluge of consumer, customer & internal data, and presenting this in a way that is simple for our teams.
Make data a true asset . Better data and data science access for every part of Unilever, across the 3 data framework (Connectivity, Growth, Continuous Improvement) and leading through the Enterprise Data Executive.
World-class Information : One Version of the Facts. Continued excellence in delivery of diagnostics and insights to focus attention when and where it matters with a focus on Big Bets, Strategic Initiatives and Leadership team reporting.

Main Purpose of the Job:

The Data Specialist is a key member of the Information & Analytics team, responsible for transforming and modelling the data with the goal of discovering useful information and supporting decision making. He/she will report into the Director, Global Analytics - Cross Functional Products and will identify where, when, how and why the business uses data by democratising data across the organisation.
This role is a hands-on role meant to build-out our thought leadership around data and insight and to deliver clear value out of incremental internal/external data sets that can positively impact the Unilever business.

Key accountabilities:

Key Accountabilities/Deliverables
Support the Enterprise data & insight strategy for the Unilever, including the transformation of the wider organisation into a data driven team
Partner with the Global Data Expertise Group and the local business users to define how data can drive value across the business.
Identify opportunities to apply diagnostic insights to data, aligning to the strategy.
Execute the data & insights delivery plan - that includes commitments to:
Democratisation of Data across the whole organisation
Proactively identifying enrichment/growth opportunities, unlocking innovation through experimentation
Use recognized data analysis & visualization techniques to make sense of data in a way that helps the markets to discover useful information to improve the overall business objectives and performance
Recommend and extract the value attributed to data as a critical organizational asset and competitive advantage.
Priority areas include Data Policy, External Data exploration, Consumer data, Shopper data, Media and Market Share and extends to include all other data sets relevant for Customer development.
Consult on data components of projects with country / cluster wide impact; establishing data as a product, data as an enabler, then data as a service (and maybe eventually data as a business).
Facilitate data integration and data exploration across internal or external data sets that are relevant for market
Ensure quality of data by performing quality checks on processed data, find ways to improve data quality and work process so that we can provide accurate and timely data to clients
Masterfully executes and collaborates with stakeholders and users to drive cultural shift around data within the organisation

Experience and qualifications required:

Bachelor’s degree in computer science, statistics, mathematics, data modelling, economics, finance, business administration or similar technical background
Proficiency in one or more programming languages- eg.Python or R, but ability and willingness to learn is essential
Minimum 5+ years in demonstrable enterprise value realization from data and business intelligence
Experience with data modeling, data analysis and visualization techniques
Familiarity with statistical and machine learning methods
Ability to manage multiple requests and priorities simultaneously in a highly VUCA environment
Ability to communicate analytic and data science solutions in an actionable manner to business managers
Key Skills Required
Professional Skills
Data lifecycle management – Fully Operational
Analytical power and actionable insights generation – Fully Operational
Business Intelligence Platform – Fully Operational
Data Visualisation – Fully Operational
General Skills
Strong Communication and influencing skills – Working knowledge
Client Management – Fully Operational
Project Management - Working Knowledge
Effective Team Management – Basic appreciation",Facilitate data integration and data exploration across internal or external data sets that are relevant for market.
Data Scientist en Vie Brésil (H/F),"São Paulo, SP",Keyrus,None,Organic,"Vos missions :
Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables
Explorer de larges volumes de données hétérogènes et complexes afin d’en extraire des connaissances utiles pour la prise de décision et les restituer aux métiers
Mettre en place des modèles de Machine Learning et de Deep Learning permettant de modéliser des phénomènes complexes et de répondre aux besoins variés de nos clients (détection de fraude, maintenance prédictive, etc.)
Participer en étroite collaboration avec les Data Engineers, à l’industrialisation et la mise en production des modèles et des pipelines de transformation de données développées

Notre candidat idéal :
Diplômé de l’enseignement supérieur (Ecole de Commerce, Ecole d’Ingénieurs, Université ….)
Première expérience dans un contexte d’intelligence d’affaires (besoins d'affaires, analyse de données, spécifications fonctionnelles, modélisation multidimensionnelle, etc.).
Connaissance sur R et Alteryx ; un atout.
Connaissance approfondie d’Excel (Power Query, tableaux croisés dynamiques, macros VBA).
Capacité de structurer et mener des réunions d'intervenants multidisciplinaires et multi-niveaux, habiletés à synthétiser et à communiquer dans un langage non technique.
Courant (parlé/écrit) anglais et portugais

Contrat : VIE
Localisation : Sao Paulo, Brésil
Durée : 12 à 24 mois
Rémunération : Selon barème Business France
Démarrage : Dès que possible",Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables.
Estágio em Data Science,"Florianópolis, SC",Programa de Estágio,None,Organic,"Vos missions :
Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables
Explorer de larges volumes de données hétérogènes et complexes afin d’en extraire des connaissances utiles pour la prise de décision et les restituer aux métiers
Mettre en place des modèles de Machine Learning et de Deep Learning permettant de modéliser des phénomènes complexes et de répondre aux besoins variés de nos clients (détection de fraude, maintenance prédictive, etc.)
Participer en étroite collaboration avec les Data Engineers, à l’industrialisation et la mise en production des modèles et des pipelines de transformation de données développées

Notre candidat idéal :
Diplômé de l’enseignement supérieur (Ecole de Commerce, Ecole d’Ingénieurs, Université ….)
Première expérience dans un contexte d’intelligence d’affaires (besoins d'affaires, analyse de données, spécifications fonctionnelles, modélisation multidimensionnelle, etc.).
Connaissance sur R et Alteryx ; un atout.
Connaissance approfondie d’Excel (Power Query, tableaux croisés dynamiques, macros VBA).
Capacité de structurer et mener des réunions d'intervenants multidisciplinaires et multi-niveaux, habiletés à synthétiser et à communiquer dans un langage non technique.
Courant (parlé/écrit) anglais et portugais

Contrat : VIE
Localisation : Sao Paulo, Brésil
Durée : 12 à 24 mois
Rémunération : Selon barème Business France
Démarrage : Dès que possible",Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables.
Head Data Science,"Nova Lima, MG",Viridis Energy,None,Organic,"Vos missions :
Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables
Explorer de larges volumes de données hétérogènes et complexes afin d’en extraire des connaissances utiles pour la prise de décision et les restituer aux métiers
Mettre en place des modèles de Machine Learning et de Deep Learning permettant de modéliser des phénomènes complexes et de répondre aux besoins variés de nos clients (détection de fraude, maintenance prédictive, etc.)
Participer en étroite collaboration avec les Data Engineers, à l’industrialisation et la mise en production des modèles et des pipelines de transformation de données développées

Notre candidat idéal :
Diplômé de l’enseignement supérieur (Ecole de Commerce, Ecole d’Ingénieurs, Université ….)
Première expérience dans un contexte d’intelligence d’affaires (besoins d'affaires, analyse de données, spécifications fonctionnelles, modélisation multidimensionnelle, etc.).
Connaissance sur R et Alteryx ; un atout.
Connaissance approfondie d’Excel (Power Query, tableaux croisés dynamiques, macros VBA).
Capacité de structurer et mener des réunions d'intervenants multidisciplinaires et multi-niveaux, habiletés à synthétiser et à communiquer dans un langage non technique.
Courant (parlé/écrit) anglais et portugais

Contrat : VIE
Localisation : Sao Paulo, Brésil
Durée : 12 à 24 mois
Rémunération : Selon barème Business France
Démarrage : Dès que possible",Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables.
Analista de Banco de Dados - Data Science,"Recife, PE",FindUP,None,Organic,"Vos missions :
Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables
Explorer de larges volumes de données hétérogènes et complexes afin d’en extraire des connaissances utiles pour la prise de décision et les restituer aux métiers
Mettre en place des modèles de Machine Learning et de Deep Learning permettant de modéliser des phénomènes complexes et de répondre aux besoins variés de nos clients (détection de fraude, maintenance prédictive, etc.)
Participer en étroite collaboration avec les Data Engineers, à l’industrialisation et la mise en production des modèles et des pipelines de transformation de données développées

Notre candidat idéal :
Diplômé de l’enseignement supérieur (Ecole de Commerce, Ecole d’Ingénieurs, Université ….)
Première expérience dans un contexte d’intelligence d’affaires (besoins d'affaires, analyse de données, spécifications fonctionnelles, modélisation multidimensionnelle, etc.).
Connaissance sur R et Alteryx ; un atout.
Connaissance approfondie d’Excel (Power Query, tableaux croisés dynamiques, macros VBA).
Capacité de structurer et mener des réunions d'intervenants multidisciplinaires et multi-niveaux, habiletés à synthétiser et à communiquer dans un langage non technique.
Courant (parlé/écrit) anglais et portugais

Contrat : VIE
Localisation : Sao Paulo, Brésil
Durée : 12 à 24 mois
Rémunération : Selon barème Business France
Démarrage : Dès que possible",Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables.
Estágio - Ciências da Computação/Sistemas de informação (Dat...,"Santo Antônio de Lisboa, SC",IEL/SC,None,Organic,"Vos missions :
Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables
Explorer de larges volumes de données hétérogènes et complexes afin d’en extraire des connaissances utiles pour la prise de décision et les restituer aux métiers
Mettre en place des modèles de Machine Learning et de Deep Learning permettant de modéliser des phénomènes complexes et de répondre aux besoins variés de nos clients (détection de fraude, maintenance prédictive, etc.)
Participer en étroite collaboration avec les Data Engineers, à l’industrialisation et la mise en production des modèles et des pipelines de transformation de données développées

Notre candidat idéal :
Diplômé de l’enseignement supérieur (Ecole de Commerce, Ecole d’Ingénieurs, Université ….)
Première expérience dans un contexte d’intelligence d’affaires (besoins d'affaires, analyse de données, spécifications fonctionnelles, modélisation multidimensionnelle, etc.).
Connaissance sur R et Alteryx ; un atout.
Connaissance approfondie d’Excel (Power Query, tableaux croisés dynamiques, macros VBA).
Capacité de structurer et mener des réunions d'intervenants multidisciplinaires et multi-niveaux, habiletés à synthétiser et à communiquer dans un langage non technique.
Courant (parlé/écrit) anglais et portugais

Contrat : VIE
Localisation : Sao Paulo, Brésil
Durée : 12 à 24 mois
Rémunération : Selon barème Business France
Démarrage : Dès que possible",Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables.
Data Science Immersive Instructor,Amazonas,GA Instructor,None,Organic,"Vos missions :
Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables
Explorer de larges volumes de données hétérogènes et complexes afin d’en extraire des connaissances utiles pour la prise de décision et les restituer aux métiers
Mettre en place des modèles de Machine Learning et de Deep Learning permettant de modéliser des phénomènes complexes et de répondre aux besoins variés de nos clients (détection de fraude, maintenance prédictive, etc.)
Participer en étroite collaboration avec les Data Engineers, à l’industrialisation et la mise en production des modèles et des pipelines de transformation de données développées

Notre candidat idéal :
Diplômé de l’enseignement supérieur (Ecole de Commerce, Ecole d’Ingénieurs, Université ….)
Première expérience dans un contexte d’intelligence d’affaires (besoins d'affaires, analyse de données, spécifications fonctionnelles, modélisation multidimensionnelle, etc.).
Connaissance sur R et Alteryx ; un atout.
Connaissance approfondie d’Excel (Power Query, tableaux croisés dynamiques, macros VBA).
Capacité de structurer et mener des réunions d'intervenants multidisciplinaires et multi-niveaux, habiletés à synthétiser et à communiquer dans un langage non technique.
Courant (parlé/écrit) anglais et portugais

Contrat : VIE
Localisation : Sao Paulo, Brésil
Durée : 12 à 24 mois
Rémunération : Selon barème Business France
Démarrage : Dès que possible",Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables.
Data Science - Sênior,"São Paulo, SP",PicPay,None,Organic,"Vos missions :
Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables
Explorer de larges volumes de données hétérogènes et complexes afin d’en extraire des connaissances utiles pour la prise de décision et les restituer aux métiers
Mettre en place des modèles de Machine Learning et de Deep Learning permettant de modéliser des phénomènes complexes et de répondre aux besoins variés de nos clients (détection de fraude, maintenance prédictive, etc.)
Participer en étroite collaboration avec les Data Engineers, à l’industrialisation et la mise en production des modèles et des pipelines de transformation de données développées

Notre candidat idéal :
Diplômé de l’enseignement supérieur (Ecole de Commerce, Ecole d’Ingénieurs, Université ….)
Première expérience dans un contexte d’intelligence d’affaires (besoins d'affaires, analyse de données, spécifications fonctionnelles, modélisation multidimensionnelle, etc.).
Connaissance sur R et Alteryx ; un atout.
Connaissance approfondie d’Excel (Power Query, tableaux croisés dynamiques, macros VBA).
Capacité de structurer et mener des réunions d'intervenants multidisciplinaires et multi-niveaux, habiletés à synthétiser et à communiquer dans un langage non technique.
Courant (parlé/écrit) anglais et portugais

Contrat : VIE
Localisation : Sao Paulo, Brésil
Durée : 12 à 24 mois
Rémunération : Selon barème Business France
Démarrage : Dès que possible",Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables.
Analista Data Science | SP,"São Paulo, SP",Grupo Globo,None,Organic,"Vos missions :
Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables
Explorer de larges volumes de données hétérogènes et complexes afin d’en extraire des connaissances utiles pour la prise de décision et les restituer aux métiers
Mettre en place des modèles de Machine Learning et de Deep Learning permettant de modéliser des phénomènes complexes et de répondre aux besoins variés de nos clients (détection de fraude, maintenance prédictive, etc.)
Participer en étroite collaboration avec les Data Engineers, à l’industrialisation et la mise en production des modèles et des pipelines de transformation de données développées

Notre candidat idéal :
Diplômé de l’enseignement supérieur (Ecole de Commerce, Ecole d’Ingénieurs, Université ….)
Première expérience dans un contexte d’intelligence d’affaires (besoins d'affaires, analyse de données, spécifications fonctionnelles, modélisation multidimensionnelle, etc.).
Connaissance sur R et Alteryx ; un atout.
Connaissance approfondie d’Excel (Power Query, tableaux croisés dynamiques, macros VBA).
Capacité de structurer et mener des réunions d'intervenants multidisciplinaires et multi-niveaux, habiletés à synthétiser et à communiquer dans un langage non technique.
Courant (parlé/écrit) anglais et portugais

Contrat : VIE
Localisation : Sao Paulo, Brésil
Durée : 12 à 24 mois
Rémunération : Selon barème Business France
Démarrage : Dès que possible",Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables.
Analista Data Science | SP,"São Paulo, SP",Globo.com,None,Organic,"Vos missions :
Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables
Explorer de larges volumes de données hétérogènes et complexes afin d’en extraire des connaissances utiles pour la prise de décision et les restituer aux métiers
Mettre en place des modèles de Machine Learning et de Deep Learning permettant de modéliser des phénomènes complexes et de répondre aux besoins variés de nos clients (détection de fraude, maintenance prédictive, etc.)
Participer en étroite collaboration avec les Data Engineers, à l’industrialisation et la mise en production des modèles et des pipelines de transformation de données développées

Notre candidat idéal :
Diplômé de l’enseignement supérieur (Ecole de Commerce, Ecole d’Ingénieurs, Université ….)
Première expérience dans un contexte d’intelligence d’affaires (besoins d'affaires, analyse de données, spécifications fonctionnelles, modélisation multidimensionnelle, etc.).
Connaissance sur R et Alteryx ; un atout.
Connaissance approfondie d’Excel (Power Query, tableaux croisés dynamiques, macros VBA).
Capacité de structurer et mener des réunions d'intervenants multidisciplinaires et multi-niveaux, habiletés à synthétiser et à communiquer dans un langage non technique.
Courant (parlé/écrit) anglais et portugais

Contrat : VIE
Localisation : Sao Paulo, Brésil
Durée : 12 à 24 mois
Rémunération : Selon barème Business France
Démarrage : Dès que possible",Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables.
DATA SCIENCE CONSULTANT SAO PAULO,"São Paulo, SP",managementsolutions,None,Organic,"Vos missions :
Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables
Explorer de larges volumes de données hétérogènes et complexes afin d’en extraire des connaissances utiles pour la prise de décision et les restituer aux métiers
Mettre en place des modèles de Machine Learning et de Deep Learning permettant de modéliser des phénomènes complexes et de répondre aux besoins variés de nos clients (détection de fraude, maintenance prédictive, etc.)
Participer en étroite collaboration avec les Data Engineers, à l’industrialisation et la mise en production des modèles et des pipelines de transformation de données développées

Notre candidat idéal :
Diplômé de l’enseignement supérieur (Ecole de Commerce, Ecole d’Ingénieurs, Université ….)
Première expérience dans un contexte d’intelligence d’affaires (besoins d'affaires, analyse de données, spécifications fonctionnelles, modélisation multidimensionnelle, etc.).
Connaissance sur R et Alteryx ; un atout.
Connaissance approfondie d’Excel (Power Query, tableaux croisés dynamiques, macros VBA).
Capacité de structurer et mener des réunions d'intervenants multidisciplinaires et multi-niveaux, habiletés à synthétiser et à communiquer dans un langage non technique.
Courant (parlé/écrit) anglais et portugais

Contrat : VIE
Localisation : Sao Paulo, Brésil
Durée : 12 à 24 mois
Rémunération : Selon barème Business France
Démarrage : Dès que possible",Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables.
Data Scientist,"São Paulo, SP",Dasa EXP - Tecnologia,None,Organic,"Vos missions :
Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables
Explorer de larges volumes de données hétérogènes et complexes afin d’en extraire des connaissances utiles pour la prise de décision et les restituer aux métiers
Mettre en place des modèles de Machine Learning et de Deep Learning permettant de modéliser des phénomènes complexes et de répondre aux besoins variés de nos clients (détection de fraude, maintenance prédictive, etc.)
Participer en étroite collaboration avec les Data Engineers, à l’industrialisation et la mise en production des modèles et des pipelines de transformation de données développées

Notre candidat idéal :
Diplômé de l’enseignement supérieur (Ecole de Commerce, Ecole d’Ingénieurs, Université ….)
Première expérience dans un contexte d’intelligence d’affaires (besoins d'affaires, analyse de données, spécifications fonctionnelles, modélisation multidimensionnelle, etc.).
Connaissance sur R et Alteryx ; un atout.
Connaissance approfondie d’Excel (Power Query, tableaux croisés dynamiques, macros VBA).
Capacité de structurer et mener des réunions d'intervenants multidisciplinaires et multi-niveaux, habiletés à synthétiser et à communiquer dans un langage non technique.
Courant (parlé/écrit) anglais et portugais

Contrat : VIE
Localisation : Sao Paulo, Brésil
Durée : 12 à 24 mois
Rémunération : Selon barème Business France
Démarrage : Dès que possible",Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables.
Researcher Specialist (Data Scientist),"Campinas, SP",Samsung Electronics,None,Organic,"Vos missions :
Accompagner nos clients dans la formalisation de leurs besoins métier sous forme de problématiques Data Science claires et réalisables
Explorer de larges volumes de données hétérogènes et complexes afin d’en extraire des connaissances utiles pour la prise de décision et les restituer aux métiers
Mettre en place des modèles de Machine Learning et de Deep Learning permettant de modéliser des phénomènes complexes et de répondre aux besoins variés de nos clients (détection de fraude, maintenance prédictive, etc.)
Participer en étroite collaboration avec les Data Engineers, à l’industrialisation et la mise en production des modèles et des pipelines de transformation de données développées

Notre candidat idéal :
Diplômé de l’enseignement supérieur (Ecole de Commerce, Ecole d’Ingénieurs, Université ….)
Première expérience dans un contexte d’intelligence d’affaires (besoins d'affaires, analyse de données, spécifications fonctionnelles, modélisation multidimensionnelle, etc.).
Connaissance sur R et Alteryx ; un atout.
Connaissance approfondie d’Excel (Power Query, tableaux croisés dynamiques, macros VBA).
Capacité de structurer et mener des réunions d'intervenants multidisciplinaires et multi-niveaux, habiletés à synthétiser et à communiquer dans un langage non technique.
Courant (parlé/écrit) anglais et portugais

Contrat : VIE
Localisation : Sao Paulo, Brésil
Durée : 12 à 24 mois
Rémunération : Selon barème Business France
Démarrage : Dès que possible",Organize data in order to guarantee high quality data for AI algorithms.
